ids,region,year,area_m2,elevation_m,label_4class,label_3class,in_visual_qc,in_final_777
CW2019_1524,CW,2019,1768723.6972658655,1248.2620753399408,refreeze,refreeze,True,True
CW2019_1525,CW,2019,231826.43750807163,1088.3140816857035,drain_slow,drain,True,True
CW2019_1529,CW,2019,70873.96018487486,775.8163796555868,drain_slow,drain,True,True
CW2019_1534,CW,2019,418384.9907689627,466.4523625746691,drain,drain,True,True
CW2019_1535,CW,2019,54412.911367828034,627.2052333528609,drain,drain,True,True
CW2019_1541,CW,2019,1121637.5763459103,895.1972925868289,drain,drain,False,False
CW2019_1542,CW,2019,437589.5477223624,901.6027188124287,drain_slow,drain,True,True
CW2019_1544,CW,2019,363146.14933093893,1072.8947342437075,drain_slow,drain,True,True
CW2019_1546,CW,2019,139461.663589649,681.3642694385418,drain,drain,True,True
CW2019_1548,CW,2019,1019213.2725947213,757.965488107001,drain,drain,True,True
CW2019_1549,CW,2019,222681.41038743308,822.8128312457225,drain,drain,True,True
CW2019_1552,CW,2019,57156.41950401011,809.4274614619588,drain,drain,True,True
CW2019_1553,CW,2019,58985.42492810335,303.9265148777256,drain,drain,True,True
CW2019_1564,CW,2019,1804822.727150383,1352.8101987025138,refreeze,refreeze,True,True
CW2019_1571,CW,2019,99223.54425895361,880.9613486545873,drain,drain,True,True
CW2019_1574,CW,2019,151350.1988465014,843.6210732213142,drain_slow,drain,True,True
CW2019_1576,CW,2019,58070.92221604266,686.8961239353168,drain,drain,True,True
CW2019_1579,CW,2019,534526.835201057,884.408267266887,drain,drain,True,True
CW2019_1583,CW,2019,251338.94941171256,1590.5352438847895,buried,buried,False,False
CW2019_1584,CW,2019,1005810.2984598456,1546.8976491591914,buried,buried,False,False
CW2019_1590,CW,2019,114988.70560794421,744.8946991404011,drain,drain,True,True
CW2019_1591,CW,2019,56241.91679193184,606.0061415727492,drain,drain,False,False
CW2019_1592,CW,2019,147692.18799821465,684.6033469565429,drain_slow,drain,True,True
CW2019_1597,CW,2019,431321.2712328988,1648.834094227832,buried,buried,True,True
CW2019_1599,CW,2019,359856.8171969989,1757.7244030390734,refreeze,refreeze,False,False
CW2019_1603,CW,2019,188844.81004124344,1774.5273758536873,refreeze,refreeze,False,False
CW2019_1604,CW,2019,95565.53341068092,1729.0367575279724,refreeze,refreeze,False,False
CW2019_1605,CW,2019,144948.6798620501,1725.6390206579945,refreeze,refreeze,False,False
CW2019_1606,CW,2019,65386.94391253881,1795.0,refreeze,refreeze,True,True
CW2019_1615,CW,2019,56241.91679194415,1691.132572653344,refreeze,refreeze,True,True
CW2019_1616,CW,2019,1075912.440742629,1759.001145049567,refreeze,refreeze,False,False
CW2019_1617,CW,2019,3151833.5971264774,1650.2232051625278,buried,buried,True,True
CW2019_1618,CW,2019,165067.73952734677,1564.2912353197044,drain,drain,False,False
